transaction_amount,transaction_hour,is_weekend,merchant_category,user_location,device_type,previous_transaction_gap,transaction_velocity,failed_login_attempts,account_age_days,ip_risk_score,geo_mismatch_flag,unusual_device_flag,is_fraud
4735.57,21,1,gaming,Bangalore,mobile,128.45,2,1,2489,6.58,0,0,0
3031.31,17,0,grocery,Mumbai,mobile,103.1,1,0,1676,23.26,0,0,0
2816.42,20,0,electronics,Hyderabad,mobile,164.18,1,0,2190,57.75,0,0,0
2816.46,17,0,grocery,Hyderabad,web,1.49,0,0,796,30.77,0,0,0
8932.23,16,1,fuel,Pune,web,56.32,3,1,570,31.86,0,0,0
5622.76,17,0,grocery,Mumbai,web,20.12,1,0,2864,18.23,0,0,0
2332.63,7,0,grocery,Pune,mobile,91.02,1,0,2005,38.78,0,0,0
4878.72,12,1,fuel,Chennai,mobile,56.81,2,1,2260,15.47,0,0,0
3990.87,8,1,fuel,Bhubaneswar,mobile,17.44,4,0,736,17.89,0,0,0
509.36,0,1,grocery,Hyderabad,mobile,160.2,3,0,2145,50.98,0,0,0
1433.98,15,0,electronics,Hyderabad,mobile,104.88,3,0,1644,19.22,0,1,1
4193.58,11,0,travel,Delhi,mobile,101.93,2,0,2560,24.98,0,0,0
8406.93,2,1,travel,Mumbai,mobile,103.89,2,1,1965,37.6,1,0,0
2834.78,19,0,electronics,Hyderabad,web,17.87,5,0,50,53.83,0,0,0
2191.16,20,0,gaming,Kolkata,web,9.42,1,0,651,5.77,0,0,0
3640.24,16,1,grocery,Pune,mobile,71.32,2,1,2334,44.61,0,0,0
2088.76,12,0,gaming,Delhi,mobile,106.96,4,2,13,47.01,0,0,0
2692.49,10,1,food,Mumbai,mobile,29.02,1,0,1260,30.52,1,0,0
3326.92,12,0,food,Delhi,mobile,3.33,4,0,1087,49.55,0,0,0
1372.32,4,0,grocery,Bhubaneswar,mobile,121.17,1,0,1855,47.94,0,0,0
5815.96,10,0,fuel,Pune,mobile,22.04,1,2,1741,20.02,0,0,0
1163.11,22,0,grocery,Bangalore,mobile,5.92,1,1,2613,27.38,0,1,0
1037.75,16,0,electronics,Hyderabad,web,4.58,2,0,3319,46.58,0,0,0
3867.76,2,0,fashion,Bangalore,mobile,8.23,2,2,2858,23.53,0,0,0
5522.94,7,0,travel,Bangalore,mobile,82.27,1,1,155,21.12,0,0,0
3799.31,15,0,travel,Bangalore,mobile,101.69,2,0,1641,31.66,0,0,0
3083.54,19,0,gift_card,Mumbai,web,36.89,2,1,287,40.74,0,1,0
2672.57,1,1,grocery,Pune,web,95.32,1,2,840,24.42,0,0,0
2349.71,18,0,grocery,Kolkata,mobile,33.85,1,2,2849,38.7,0,0,0
6687.9,10,0,grocery,Hyderabad,mobile,236.37,3,0,1934,50.19,0,0,0
4221.69,22,0,food,Kolkata,mobile,59.74,2,0,57,9.25,0,0,0
2499.17,22,0,grocery,Delhi,mobile,257.33,3,1,1269,16.84,0,0,0
1955.07,7,0,gift_card,Hyderabad,tablet,66.72,5,0,1076,17.57,0,0,0
5099.93,6,1,fashion,Chennai,mobile,105.21,0,0,618,21.14,0,0,0
6586.76,18,0,food,Delhi,mobile,32.01,1,0,434,33.57,0,0,0
6210.05,1,1,grocery,Delhi,tablet,243.35,1,0,3321,41.58,0,0,0
1689.87,11,1,fashion,Bangalore,mobile,4.86,2,0,2676,19.04,0,1,0
2655.49,23,0,electronics,Hyderabad,mobile,126.89,2,0,795,18.63,0,0,0
2313.98,3,0,electronics,Chennai,mobile,104.3,2,0,3392,25.11,0,0,0
2923.78,7,0,gift_card,Bhubaneswar,mobile,5.57,4,0,1616,49.15,0,0,0
5780.51,17,0,grocery,Hyderabad,web,120.57,0,0,1003,26.98,0,0,0
7920.72,11,0,travel,Mumbai,mobile,22.69,1,1,1514,29.56,0,0,0
4330.14,7,0,grocery,Delhi,mobile,42.03,3,0,1336,12.93,0,0,0
2010.08,23,0,travel,Bhubaneswar,mobile,13.83,5,0,1579,28.58,0,0,0
3272.66,14,0,grocery,Mumbai,web,160.66,2,0,3337,39.84,0,0,0
8863.65,9,0,grocery,Hyderabad,mobile,191.87,2,0,2961,22.52,0,0,0
3578.65,5,0,gaming,Pune,mobile,17.28,2,0,691,7.18,0,0,0
2677.0,6,0,fuel,Pune,mobile,1.68,1,0,648,8.85,0,0,0
2848.2,22,0,electronics,Chennai,mobile,30.27,2,1,77,16.53,0,0,0
4316.98,18,0,travel,Hyderabad,mobile,84.05,4,0,2350,18.23,1,0,0
1738.11,16,0,travel,Hyderabad,mobile,102.19,1,1,2462,5.39,0,0,0
2270.94,23,0,electronics,Delhi,mobile,87.98,1,1,529,20.58,0,0,0
6151.43,12,0,grocery,Delhi,web,59.93,2,1,2603,28.86,0,0,0
4235.07,5,0,grocery,Chennai,mobile,16.5,1,0,1970,50.67,0,0,0
3604.44,5,0,gift_card,Chennai,mobile,55.58,0,0,2062,62.92,1,1,1
6349.47,22,1,travel,Delhi,web,163.65,2,0,2774,36.57,0,0,0
1912.31,8,0,fuel,Delhi,mobile,270.64,1,1,146,15.9,0,0,0
